2023-11-06 01:21:57.290 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-06 01:21:57.291 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-06 01:21:57.291 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2023-11-06 01:22:36.399 INFO  [restartedMain] [c.chunjae.project05.Project05Application] - Starting Project05Application using Java 17.0.7 on Novah with PID 1220 (C:\Dev\IdeaProjects\project\personal\project5\project05\build\classes\java\main started by soumu in C:\Dev\IdeaProjects\project\personal\project5\project05)
2023-11-06 01:22:36.401 INFO  [restartedMain] [c.chunjae.project05.Project05Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-06 01:22:36.644 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-06 01:22:36.644 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-06 01:22:37.797 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-06 01:22:37.804 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-06 01:22:37.806 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-06 01:22:37.806 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-06 01:22:37.977 INFO  [restartedMain] [org.apache.jasper.servlet.TldScanner] - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-11-06 01:22:37.987 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-06 01:22:37.987 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1342 ms
2023-11-06 01:22:38.550 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@77a5cd3b, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1251ac19, org.springframework.security.web.context.SecurityContextPersistenceFilter@1becd92, org.springframework.security.web.header.HeaderWriterFilter@19230de9, org.springframework.security.web.csrf.CsrfFilter@6272470c, org.springframework.security.web.authentication.logout.LogoutFilter@c26cf5b, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2a45af95, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@580a84d7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7ffb804b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3a5a168f, org.springframework.security.web.session.SessionManagementFilter@5f4c0e6e, org.springframework.security.web.access.ExceptionTranslationFilter@74bf1e9f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@366de9bf]
2023-11-06 01:22:38.980 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-06 01:22:38.995 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-06 01:22:39.024 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-06 01:22:39.040 INFO  [restartedMain] [c.chunjae.project05.Project05Application] - Started Project05Application in 2.953 seconds (JVM running for 3.61)
